lon,lat,Source,properties.title
3.25,36.73,<a href=https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/DZA/DZA_Algiers.603900_IWEC/DZA_Algiers.603900_IWEC.epw>EnergyPlus</a>,title1
30.73,28.09,<a href=https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Al.Minya.623870_ETMY/EGY_Al.Minya.623870_ETMY.epw>EnergyPlus</a>,title2
